design	output	parameter	S1	S1_ci_low	S1_ci_high	ST	ST_ci_low	ST_ci_high
current	peak_I_child	beta	0.0215	-0.0169	0.0580	0.0264	0.0230	0.0306
current	peak_I_child	gamma	0.6451	0.4752	0.8286	0.6422	0.5897	0.7004
current	peak_I_child	sigma	0.3222	0.1834	0.4634	0.3404	0.3108	0.3749
current	peak_I_adult	beta	0.0248	-0.0170	0.0637	0.0324	0.0282	0.0375
current	peak_I_adult	gamma	0.6546	0.4878	0.8332	0.6546	0.5995	0.7136
current	peak_I_adult	sigma	0.3065	0.1757	0.4386	0.3212	0.2924	0.3545
