point_id	scenario	seed	cum_E_adult	cum_E_child	cum_I_adult	cum_I_child	cum_R_adult	cum_R_child	cum_S_adult	cum_S_child	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
4706	baseline	1	44134	43758	17696	17715	389778	397170	53392	46357	0	1	0	0	5000	4999	0	0	3083	3038	960	970	5000	4999	5000	4990	13	12	18	15	86	83	0	0
4706	baseline	2	44803	44162	17698	17814	387175	393572	55324	49452	0	0	0	0	5000	5000	0	0	3011	3105	966	1020	5000	5000	5000	4990	14	13	17	16	91	94	0	0
4706	baseline	3	46082	45577	17960	17667	387503	393645	53455	48111	0	1	0	0	5000	4999	0	0	3056	3113	938	978	5000	4999	5000	4990	14	13	17	16	92	81	0	0
4707	baseline	1	36688	36973	45815	44935	336292	346604	86205	76488	0	0	2	2	4998	4998	0	0	2387	2431	1841	1804	4998	4998	5000	4990	21	19	26	24	98	99	0	0
4707	baseline	2	37206	36968	44844	45646	336431	343213	86519	79173	0	0	2	3	4998	4997	0	0	2291	2449	1774	1872	4998	4997	5000	4990	21	20	26	27	100	93	0	0
4707	baseline	3	38563	37766	45820	45006	340154	349286	80463	72942	0	0	3	2	4997	4998	0	0	2434	2452	1782	1790	4997	4998	5000	4990	20	19	26	24	97	98	0	0
4708	baseline	1	31200	31077	30809	31900	394857	399955	48134	42068	0	0	0	0	5000	5000	0	0	2820	2907	1713	1745	5000	5000	5000	4990	12	11	16	15	77	78	0	0
4708	baseline	2	30869	31158	31485	31162	396921	401145	45725	41535	0	0	0	0	5000	5000	0	0	2804	2912	1717	1769	5000	5000	5000	4990	11	11	16	14	87	69	0	0
4708	baseline	3	32156	31715	31615	31127	394803	400262	46426	41896	0	0	0	0	5000	5000	0	0	2841	2949	1679	1687	5000	5000	5000	4990	12	11	15	14	71	88	0	0
4709	baseline	1	26002	26341	22088	21521	390947	397729	65963	59409	0	0	0	0	5000	5000	0	0	2306	2307	1464	1410	5000	5000	5000	4990	15	14	19	18	71	65	0	0
4709	baseline	2	25721	25756	22236	22053	396611	402343	60432	54848	0	0	0	0	4998	5000	2	0	2241	2397	1409	1509	4998	5000	5000	4990	15	13	18	16	57	62	0	0
4709	baseline	3	27014	25972	21804	21648	394499	402030	61683	55350	0	0	0	0	5000	5000	0	0	2315	2368	1359	1405	5000	5000	5000	4990	15	14	19	16	64	65	0	0
4710	baseline	1	22016	21665	39789	40185	410996	415118	32199	28032	0	0	0	0	5000	5000	0	0	2920	3008	2297	2355	5000	5000	5000	4990	8	7	12	11	93	70	0	0
4710	baseline	2	22232	21904	39878	40322	411189	414481	31701	28293	0	0	0	0	5000	5000	0	0	2935	3045	2360	2378	5000	5000	5000	4990	8	7	12	11	89	90	0	0
4710	baseline	3	22263	22169	40351	40632	412019	415160	30367	27039	0	0	0	0	5000	5000	0	0	2902	3043	2340	2344	5000	5000	5000	4990	7	7	12	11	75	88	0	0
4711	baseline	1	18232	18219	27829	28135	379015	386925	79924	71721	0	0	0	0	5000	5000	0	0	1671	1706	1788	1777	5000	5000	5000	4990	17	17	22	20	74	66	0	0
4711	baseline	2	18518	18278	27577	28095	383110	390255	75795	68372	0	0	0	0	4999	4999	1	1	1663	1775	1675	1843	4999	4999	5000	4990	17	16	21	19	75	64	0	0
4711	baseline	3	18748	18504	28192	27738	385648	394549	72412	64209	0	0	0	0	5000	5000	0	0	1706	1787	1777	1794	5000	5000	5000	4990	17	15	20	19	67	72	0	0
4712	baseline	1	15226	15552	19421	19284	428624	433215	41729	36949	0	0	0	0	5000	5000	0	0	2220	2266	1790	1763	5000	5000	5000	4990	9	9	12	11	53	43	0	0
4712	baseline	2	15653	15333	19110	19209	430754	435331	39483	35127	0	0	0	0	5000	5000	0	0	2207	2255	1722	1851	5000	5000	5000	4990	9	8	12	11	45	48	0	0
4712	baseline	3	15763	15733	19343	19407	429098	433029	40796	36831	0	0	0	0	5000	5000	0	0	2199	2296	1771	1743	5000	5000	5000	4990	10	9	12	11	47	46	0	0
4713	baseline	1	12735	12972	35943	35611	404797	409538	51525	46879	0	0	0	0	5000	5000	0	0	1877	1937	2539	2535	5000	5000	5000	4990	11	11	15	14	76	78	0	0
4713	baseline	2	13108	12945	35334	35933	409283	413191	47275	42931	0	0	0	0	5000	5000	0	0	1882	1951	2451	2566	5000	5000	5000	4990	11	10	14	13	87	60	0	0
4713	baseline	3	13286	12856	35807	36027	409582	413844	46325	42273	0	0	0	0	5000	5000	0	0	1924	1952	2542	2568	5000	5000	5000	4990	11	10	14	13	69	73	0	0
4714	baseline	1	10671	10787	24551	24742	442360	445150	27418	24321	0	0	0	0	5000	5000	0	0	2353	2310	2464	2477	5000	5000	5000	4990	6	6	9	8	53	46	0	0
4714	baseline	2	10827	10828	24647	24462	442610	445115	26916	24595	0	0	0	0	5000	5000	0	0	2326	2338	2443	2463	5000	5000	5000	4990	6	6	8	8	50	50	0	0
4714	baseline	3	11053	11038	24626	24854	443817	446014	25504	23094	0	0	0	0	5000	5000	0	0	2428	2432	2449	2450	5000	5000	5000	4990	6	5	8	8	57	49	0	0
4715	baseline	1	9008	8796	16960	17141	418703	425742	60329	53321	0	0	0	0	4980	4997	20	3	1237	1315	1675	1788	4980	4997	5000	4990	13	12	15	14	65	42	0	0
4715	baseline	2	8986	9067	17151	17000	424446	430447	54417	48486	0	0	0	0	4988	4997	12	3	1269	1343	1702	1790	4988	4997	5000	4990	12	11	14	13	43	43	0	0
4715	baseline	3	9275	9183	17065	17009	424830	431230	53830	47578	0	0	0	0	4981	5000	19	0	1298	1367	1671	1745	4981	5000	5000	4990	11	11	14	13	44	46	0	0
4716	baseline	1	7596	7668	48734	48483	421705	424704	26965	24145	0	0	1	0	4999	5000	0	0	2036	1989	3387	3409	4999	5000	5000	4990	6	5	9	8	80	72	0	0
4716	baseline	2	7731	7677	48349	48759	422939	424754	25981	23810	0	0	0	0	5000	5000	0	0	1997	2111	3364	3426	5000	5000	5000	4990	6	5	9	8	91	94	0	0
