point_id	scenario	seed	cum_E_adult	cum_E_child	cum_I_adult	cum_I_child	cum_R_adult	cum_R_child	cum_S_adult	cum_S_child	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
0	baseline	1	30871	32067	46007	46714	379726	384040	48396	42179	0	0	0	1	5000	4999	0	0	2884	2975	2126	2108	5000	4999	5000	4990	12	11	17	16	95	90	0	0
0	baseline	2	31553	30318	46428	46260	382068	387731	44951	40691	0	0	1	0	4999	5000	0	0	2913	2947	2107	2177	4999	5000	5000	4990	11	10	16	17	96	90	0	0
0	baseline	3	32500	31745	46461	46530	381684	386939	44355	39786	0	0	1	1	4999	4999	0	0	2960	3002	2047	2094	4999	4999	5000	4990	11	10	17	16	99	94	0	0
1	baseline	1	19456	20030	21767	21723	415695	420243	48082	43004	0	0	0	0	5000	5000	0	0	2342	2402	1714	1669	5000	5000	5000	4990	11	10	14	13	57	50	0	0
1	baseline	2	19779	20133	21777	21651	416059	419905	47385	43311	0	0	0	0	5000	5000	0	0	2306	2400	1643	1740	5000	5000	5000	4990	11	10	14	14	52	55	0	0
1	baseline	3	20534	20190	21798	21703	417123	422498	45545	40609	0	0	0	0	5000	5000	0	0	2387	2411	1657	1686	5000	5000	5000	4990	11	10	14	13	49	57	0	0
2	baseline	1	12213	12857	78333	77171	383912	387274	30542	27698	0	0	11	15	4989	4985	0	0	2480	2446	3484	3417	4989	4985	5000	4990	7	6	11	11	100	100	0	0
2	baseline	2	12788	12563	76945	74981	386354	391080	28913	26376	0	0	10	13	4990	4987	0	0	2417	2558	3387	3440	4990	4987	5000	4990	7	6	11	11	100	100	0	0
2	baseline	3	12770	12614	77876	79081	387235	388811	27119	24494	0	0	12	16	4988	4984	0	0	2447	2528	3479	3442	4988	4984	5000	4990	6	6	11	10	99	98	0	0
3	baseline	1	7844	7867	36188	36609	426581	429183	34387	31341	0	0	0	0	5000	5000	0	0	1665	1800	2970	2982	5000	5000	5000	4990	8	7	10	10	74	63	0	0
3	baseline	2	7970	7883	36220	36101	428522	431442	32288	29574	0	0	0	0	5000	5000	0	0	1704	1790	2976	3067	5000	5000	5000	4990	7	7	10	9	87	67	0	0
3	baseline	3	8066	8025	36331	36207	427587	430779	33016	29989	0	0	0	0	5000	5000	0	0	1721	1827	3019	2991	5000	5000	5000	4990	7	7	10	9	62	73	0	0
4	baseline	1	44287	46368	16765	16972	385867	390929	58081	50731	0	0	0	0	5000	5000	0	0	2876	3026	934	935	5000	5000	5000	4990	15	13	18	16	91	93	0	0
4	baseline	2	45576	46371	17056	16699	382843	389527	59525	52403	0	0	0	0	5000	5000	0	0	2914	2991	882	916	5000	5000	5000	4990	15	14	18	16	91	94	0	0
4	baseline	3	45306	45041	16898	16640	385018	391825	57778	51494	1	0	0	0	4999	5000	0	0	2930	3019	896	936	4999	5000	5000	4990	15	14	17	16	98	96	0	0
5	baseline	1	28094	29105	59392	60942	368700	372150	48814	42803	0	0	2	5	4998	4995	0	0	2794	2883	2469	2437	4998	4995	5000	4990	12	11	17	16	99	90	0	0
5	baseline	2	28957	27859	59687	60592	371415	375995	44941	40554	0	0	5	3	4995	4997	0	0	2830	2866	2431	2550	4995	4997	5000	4990	11	10	17	17	97	95	0	0
5	baseline	3	30021	29088	59761	60682	371042	375597	44176	39633	0	0	3	6	4997	4994	0	0	2873	2902	2376	2446	4997	4994	5000	4990	11	10	18	16	96	100	0	0
