point_id	scenario	seed	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	integral_E_adult	integral_E_child	integral_I_adult	integral_I_child	integral_R_adult	integral_R_child	integral_S_adult	integral_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
2828	baseline	1	0	0	0	0	5000	5000	0	0	27572	27890	23243	22808	408794	414573	45391	39729	2819	2797	1573	1514	5000	5000	5000	4990	11	10	14	14	74	60	0	0
2828	baseline	2	0	0	0	0	5000	5000	0	0	28423	28462	22658	22924	409263	413444	44656	40170	2760	2848	1475	1529	5000	5000	5000	4990	11	10	14	13	63	58	0	0
2828	baseline	3	0	0	0	0	5000	5000	0	0	28321	27999	22904	23287	408332	412578	45443	41136	2807	2834	1519	1538	5000	5000	5000	4990	11	10	14	14	64	65	0	0
2829	baseline	1	0	0	0	0	5000	5000	0	0	17256	17736	10410	10634	440840	444353	36494	32277	2386	2502	1143	1179	5000	5000	5000	4990	9	8	10	9	44	44	0	0
2829	baseline	2	0	0	0	0	5000	5000	0	0	17666	17984	10821	10585	441910	445077	34603	31354	2434	2539	1172	1228	5000	5000	5000	4990	8	7	10	9	39	43	0	0
2829	baseline	3	0	0	0	0	5000	5000	0	0	18013	17708	10704	10680	439701	443694	36582	32918	2479	2543	1149	1195	5000	5000	5000	4990	9	8	11	10	44	41	0	0
2830	baseline	1	0	0	34	38	4966	4962	0	0	11120	11404	94246	93631	377032	379799	22602	20166	2727	2607	3717	3703	4966	4962	5000	4990	5	5	9	9	100	99	0	0
2830	baseline	2	0	0	35	40	4965	4960	0	0	11393	11257	93585	95232	377660	378311	22362	20200	2712	2637	3654	3765	4965	4960	5000	4990	5	5	9	9	100	99	0	0
2830	baseline	3	0	0	45	33	4955	4967	0	0	11496	11447	94908	93364	377281	380793	21315	19396	2701	2565	3700	3673	4955	4967	5000	4990	5	5	10	9	99	100	0	0
2831	baseline	1	0	0	0	0	4999	5000	1	0	6976	6964	44627	43947	394567	400853	58830	53236	1071	1091	2931	2929	4999	5000	5000	4990	13	11	16	15	99	76	0	0
2831	baseline	2	0	0	0	0	5000	5000	0	0	7145	7010	43803	43513	399169	405011	54883	49466	1092	1128	2878	3004	5000	5000	5000	4990	12	11	15	14	92	94	0	0
2831	baseline	3	0	0	0	1	5000	4999	0	0	7188	7140	43850	43564	400202	405214	53760	49082	1080	1184	2858	2959	5000	4999	5000	4990	12	11	15	14	77	90	0	0
2832	baseline	1	1	0	0	0	4990	4999	9	1	40420	40534	20189	20291	334041	346238	110350	97937	2081	2183	906	922	4990	4999	5000	4990	26	24	29	27	100	94	0	0
2832	baseline	2	0	0	0	0	4992	4997	8	3	40979	40330	20538	20415	340843	352583	102640	91672	2106	2166	913	982	4992	4997	5000	4990	24	22	28	27	96	95	0	0
2832	baseline	3	0	0	1	0	4986	4998	13	2	41867	40674	20506	20608	339173	353021	103454	90697	2106	2152	881	969	4986	4998	5000	4990	24	22	30	26	99	88	0	0
2833	baseline	1	0	0	18	13	4982	4987	0	0	25124	25772	73895	71174	341586	350099	64395	57955	2409	2427	2743	2650	4982	4987	5000	4990	15	14	23	21	100	100	0	0
2833	baseline	2	0	0	15	8	4985	4992	0	0	26183	25649	72670	72760	349149	355211	56998	51380	2379	2447	2684	2746	4985	4992	5000	4990	14	13	20	19	100	100	0	0
2833	baseline	3	0	0	17	21	4983	4979	0	0	25676	26176	73266	73538	347345	351993	58713	53293	2392	2509	2731	2730	4983	4979	5000	4990	14	13	20	19	99	100	0	0
2834	baseline	1	0	0	0	0	5000	5000	0	0	15930	16214	34428	34061	405688	410187	48954	44538	2154	2209	2328	2325	5000	5000	5000	4990	11	10	14	14	74	66	0	0
2834	baseline	2	0	0	0	0	5000	5000	0	0	16389	16196	34019	33860	408084	412351	46508	42593	2150	2247	2272	2371	5000	5000	5000	4990	11	10	14	13	87	60	0	0
2834	baseline	3	0	0	0	0	5000	5000	0	0	16622	16086	33859	34442	409194	413238	45325	41234	2189	2236	2311	2370	5000	5000	5000	4990	11	10	14	13	67	73	0	0
2835	baseline	1	0	0	0	0	5000	5000	0	0	10158	10214	15651	16080	442102	445735	37089	32971	1840	1856	1819	1880	5000	5000	5000	4990	8	7	10	9	39	35	0	0
2835	baseline	2	0	0	0	0	4999	5000	1	0	10120	10076	15942	16006	444306	447657	34632	31261	1846	1986	1854	1986	4999	5000	5000	4990	8	7	10	9	42	37	0	0
2835	baseline	3	0	0	0	0	5000	5000	0	0	10552	10252	16076	15746	442370	446681	36002	32321	1955	1921	1905	1854	5000	5000	5000	4990	8	7	10	9	38	44	0	0
2836	baseline	1	0	0	0	1	5000	4999	0	0	6551	6475	57338	57201	415965	418712	25146	22612	1875	1985	3624	3636	5000	4999	5000	4990	5	5	8	7	95	90	0	0
2836	baseline	2	0	0	2	1	4998	4999	0	0	6559	6426	56882	57036	417360	419376	24199	22162	1929	2010	3631	3651	4998	4999	5000	4990	5	5	8	7	98	100	0	0
2836	baseline	3	0	0	0	3	5000	4997	0	0	6516	6435	57029	56844	418784	421106	22671	20615	1986	1895	3648	3712	5000	4997	5000	4990	5	5	8	7	100	96	0	0
2837	baseline	1	0	0	0	0	5000	5000	0	0	37154	36674	26310	26559	398439	404415	43097	37352	3150	3117	1493	1479	5000	5000	5000	4990	11	10	14	14	98	79	0	0
2837	baseline	2	0	0	0	0	5000	5000	0	0	36727	37666	26755	25972	400637	405056	40881	36306	3119	3207	1459	1462	5000	5000	5000	4990	10	9	14	13	82	94	0	0
2837	baseline	3	0	0	0	0	5000	5000	0	0	37718	36380	26545	26441	400564	405854	40173	36325	3179	3232	1476	1503	5000	5000	5000	4990	10	9	15	14	88	74	0	0
2838	baseline	1	0	0	0	0	4719	4901	281	99	22436	22412	11536	11852	326799	355011	144229	115725	1183	1251	563	641	4719	4901	5000	4990	27	25	29	27	79	67	0	0
2838	baseline	2	0	0	0	0	4720	4903	280	97	22168	23232	11661	12085	332762	358197	138409	111486	1181	1312	567	635	4720	4903	5000	4990	26	23	28	27	76	74	0	0
2838	baseline	3	0	0	0	0	4770	4930	230	70	22100	23059	11743	12107	344616	367400	126541	102434	1196	1387	588	684	4770	4930	5000	4990	24	22	25	24	89	84	0	0
2839	baseline	1	0	0	35	43	4965	4957	0	0	14644	14811	86614	86565	343378	349151	60364	54473	1846	1900	3254	3272	4965	4957	5000	4990	14	13	19	18	100	100	0	0
2839	baseline	2	0	0	32	32	4968	4968	0	0	15112	14537	86302	84540	350090	357524	53496	48399	1824	1950	3258	3310	4968	4968	5000	4990	12	11	18	17	100	100	0	0
