point_id	scenario	seed	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	integral_E_adult	integral_E_child	integral_I_adult	integral_I_child	integral_R_adult	integral_R_child	integral_S_adult	integral_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
0	baseline	1	0	0	0	1	5000	4999	0	0	31186	31249	46077	46718	369049	374547	58688	52486	2717	2809	2100	2117	5000	4999	5000	4990	14	13	19	18	95	90	0	0
0	baseline	2	0	0	1	0	4999	5000	0	0	32024	31126	46378	46376	373625	380042	52973	47456	2756	2800	2074	2111	4999	5000	5000	4990	13	12	18	19	96	90	0	0
0	baseline	3	0	0	1	2	4999	4998	0	0	32049	31869	47520	46309	374472	380383	50959	46439	2778	2834	2110	2081	4999	4998	5000	4990	13	12	19	17	100	94	0	0
1	baseline	1	0	0	0	0	5000	5000	0	0	19797	19752	21340	21926	391162	397488	72701	65834	1851	1973	1476	1559	5000	5000	5000	4990	17	15	20	18	71	63	0	0
1	baseline	2	0	0	0	0	4998	5000	2	0	19807	19594	21828	21945	398673	405484	64692	57977	1881	1973	1478	1641	4998	5000	5000	4990	15	13	18	17	62	62	0	0
1	baseline	3	0	0	0	0	4998	5000	2	0	20249	19945	21618	21641	396039	403103	67094	60311	1922	1921	1496	1494	4998	5000	5000	4990	15	15	19	17	59	58	0	0
2	baseline	1	0	0	11	15	4989	4985	0	0	12211	12797	78307	77301	383905	387148	30577	27754	2482	2432	3485	3425	4989	4985	5000	4990	7	6	11	11	100	100	0	0
2	baseline	2	0	0	10	13	4990	4987	0	0	12766	12539	76819	75068	386373	390892	29042	26501	2420	2556	3385	3446	4990	4987	5000	4990	7	6	11	11	100	100	0	0
2	baseline	3	0	0	12	16	4988	4984	0	0	12788	12560	77745	79100	387260	388804	27207	24536	2441	2516	3467	3443	4988	4984	5000	4990	6	6	11	10	99	98	0	0
3	baseline	1	0	0	0	0	4999	5000	1	0	7914	7744	35872	36491	405928	410594	55286	50171	1245	1312	2679	2794	4999	5000	5000	4990	12	11	15	14	77	65	0	0
3	baseline	2	0	0	0	0	5000	5000	0	0	7967	7913	35953	35434	410478	415956	50602	45697	1266	1316	2710	2755	5000	5000	5000	4990	11	10	14	13	87	67	0	0
3	baseline	3	0	0	0	0	5000	5000	0	0	8119	7871	36570	35252	411521	417240	48790	44637	1324	1345	2766	2755	5000	5000	5000	4990	11	10	14	13	69	73	0	0
4	baseline	1	0	0	0	0	5000	5000	0	0	44922	46164	16671	16834	379080	385001	64327	57001	2797	2876	872	865	5000	5000	5000	4990	16	15	20	17	91	93	0	0
4	baseline	2	0	0	0	0	5000	5000	0	0	46334	44890	16740	16765	379335	388658	62591	54687	2853	2927	864	919	5000	5000	5000	4990	16	14	18	16	91	94	0	0
4	baseline	3	0	1	0	0	5000	4999	0	0	47215	45509	16814	16869	378959	387638	62012	54984	2870	2867	828	891	5000	4999	5000	4990	16	15	19	17	92	85	0	0
5	baseline	1	0	0	4	5	4996	4995	0	0	28092	28901	60569	58971	352722	359432	63617	57696	2555	2589	2458	2398	4996	4995	5000	4990	15	14	21	20	99	97	0	0
5	baseline	2	0	0	6	3	4994	4997	0	0	29128	28750	60826	60163	359600	366289	55446	49798	2547	2602	2366	2489	4994	4997	5000	4990	14	12	19	19	99	97	0	0
5	baseline	3	0	0	4	7	4996	4993	0	0	29443	28824	60166	59947	359511	366049	55880	50180	2557	2637	2359	2410	4996	4993	5000	4990	14	13	20	19	98	99	0	0
6	baseline	1	0	0	0	0	5000	5000	0	0	17705	18225	28199	28165	427353	430023	31743	28587	2728	2830	2178	2128	5000	5000	5000	4990	7	7	11	10	71	57	0	0
6	baseline	2	0	0	0	0	5000	5000	0	0	18422	18031	27588	27839	428070	431235	30920	27895	2759	2852	2105	2136	5000	5000	5000	4990	7	7	10	10	63	54	0	0
6	baseline	3	0	0	0	0	5000	5000	0	0	18397	18269	27969	27778	428711	431876	29923	27077	2760	2824	2110	2105	5000	5000	5000	4990	7	7	11	10	56	57	0	0
7	baseline	1	0	0	0	0	4838	4939	162	61	11117	11065	12578	12921	384311	400676	96994	80338	1044	1073	1011	1068	4838	4939	5000	4990	17	16	19	18	52	48	0	0
7	baseline	2	0	0	0	0	4828	4941	172	59	11216	11248	12312	12983	384528	401999	96944	78770	1024	1094	953	1073	4828	4941	5000	4990	18	16	20	18	49	55	0	0
7	baseline	3	0	0	0	0	4842	4958	158	42	11287	11441	12715	12665	390335	408126	90663	72768	1043	1145	1027	1061	4842	4958	5000	4990	16	15	19	18	52	51	0	0
8	baseline	1	0	0	28	36	4972	4964	0	0	7081	7313	91671	91285	375929	378769	30319	27633	1746	1895	3912	3921	4972	4964	5000	4990	7	6	10	9	99	100	0	0
8	baseline	2	0	0	32	32	4968	4968	0	0	7321	7201	92038	91715	377323	380028	28318	26056	1795	1875	3903	3939	4968	4968	5000	4990	6	6	10	9	100	100	0	0
8	baseline	3	0	0	35	26	4965	4974	0	0	7325	7250	93284	89404	377553	384037	26838	24309	1858	1831	3955	3908	4965	4974	5000	4990	6	5	9	9	100	100	0	0
9	baseline	1	0	0	2	2	4998	4998	0	0	41431	41656	42884	42465	341979	350887	78706	69992	2659	2699	1715	1685	4998	4998	5000	4990	19	17	25	23	97	99	0	0
9	baseline	2	1	1	2	2	4997	4997	0	0	41244	41974	42892	43197	346119	352693	74745	67136	2576	2721	1699	1740	4997	4997	5000	4990	19	17	24	25	97	95	0	0
9	baseline	3	1	0	2	1	4997	4999	0	0	41366	41915	43751	42462	346817	354997	73066	65626	2682	2723	1778	1693	4997	4999	5000	4990	18	17	25	23	97	98	0	0
10	baseline	1	0	0	0	0	5000	5000	0	0	25734	26233	19697	19977	419983	424370	39586	34420	2857	2899	1463	1487	5000	5000	5000	4990	9	9	12	12	63	61	0	0
10	baseline	2	0	0	0	0	5000	5000	0	0	26573	26554	20209	19631	418984	424135	39234	34680	2817	2928	1471	1467	5000	5000	5000	4990	10	9	12	11	63	57	0	0
10	baseline	3	0	0	0	0	5000	5000	0	0	26309	26290	20267	19771	419780	424087	38644	34852	2831	2922	1462	1494	5000	5000	5000	4990	10	9	12	12	63	60	0	0
11	baseline	1	0	0	12	8	4988	4992	0	0	16422	16516	70567	69717	356243	363122	61768	55645	1929	2006	2973	2983	4988	4992	5000	4990	14	13	19	18	98	100	0	0
11	baseline	2	0	0	12	5	4988	4995	0	0	16976	16546	70348	69838	362562	368610	55114	50006	1931	2025	2941	3034	4988	4995	5000	4990	13	12	18	17	99	99	0	0
11	baseline	3	0	0	11	17	4989	4983	0	0	16934	16770	71380	71121	361330	366648	55356	50461	1992	2036	3014	3003	4989	4983	5000	4990	13	12	18	17	99	98	0	0
12	baseline	1	0	0	0	0	5000	5000	0	0	10249	10612	33456	32667	430281	433400	31014	28321	2196	2143	2773	2722	5000	5000	5000	4990	7	6	10	9	71	57	0	0
12	baseline	2	0	0	0	0	5000	5000	0	0	10572	10425	33042	32704	431548	434269	29838	27602	2134	2239	2686	2818	5000	5000	5000	4990	7	6	10	9	63	56	0	0
12	baseline	3	0	0	0	0	5000	5000	0	0	10564	10281	33362	32919	432496	435919	28578	25881	2149	2270	2772	2786	5000	5000	5000	4990	7	6	9	9	62	65	0	0
13	baseline	1	0	0	0	0	4996	4999	4	1	6495	6601	15328	15300	444784	449030	38393	34069	1343	1410	1979	2054	4996	4999	5000	4990	8	7	10	9	38	33	0	0
13	baseline	2	0	0	0	0	4998	4999	2	1	6601	6511	15334	15762	448127	451149	34938	31578	1340	1481	2017	2145	4998	4999	5000	4990	8	7	9	9	42	41	0	0
13	baseline	3	0	0	0	0	4997	4998	3	2	6748	6540	15612	15303	446267	450289	36373	32868	1421	1453	2009	2042	4997	4998	5000	4990	8	7	10	9	37	32	0	0
14	baseline	1	0	0	2	4	4998	4996	0	0	37760	37780	55003	55463	373239	377771	38998	33986	3353	3381	2158	2120	4998	4996	5000	4990	10	9	16	15	99	100	0	0
14	baseline	2	0	0	5	3	4995	4997	0	0	38106	37336	56013	55239	374061	379787	36820	32638	3362	3312	2164	2170	4995	4997	5000	4990	9	8	16	17	97	95	0	0
14	baseline	3	0	0	3	3	4997	4997	0	0	38365	38136	56117	55869	376590	381121	33928	29874	3387	3419	2202	2166	4997	4997	5000	4990	9	8	15	15	99	100	0	0
15	baseline	1	0	0	0	0	4993	5000	7	0	23599	23452	25690	25750	359671	371015	96040	84783	1713	1745	1454	1448	4993	5000	5000	4990	22	19	26	24	79	72	0	0
15	baseline	2	0	0	0	0	4996	4999	4	1	23788	23425	25808	25956	364862	374571	90542	81048	1683	1795	1385	1525	4996	4999	5000	4990	21	19	24	23	80	75	0	0
15	baseline	3	0	0	0	0	4993	5000	7	0	24346	23525	25724	25744	367502	377905	87428	77826	1769	1782	1425	1487	4993	5000	5000	4990	20	19	24	22	75	74	0	0
16	baseline	1	0	0	0	0	4987	5000	13	0	15089	15012	11974	11911	424314	430412	53623	47665	1911	2024	1207	1219	4987	5000	5000	4990	12	11	14	12	46	47	0	0
16	baseline	2	0	0	0	0	4995	5000	5	0	14912	15118	12078	11971	432397	436900	45613	41011	1858	2006	1246	1315	4995	5000	5000	4990	10	10	12	11	38	38	0	0
16	baseline	3	0	0	0	0	4995	5000	5	0	15184	14916	11969	12055	430561	436147	47286	41882	1958	2033	1206	1294	4995	5000	5000	4990	11	10	13	12	39	41	0	0
17	baseline	1	0	0	22	22	4978	4978	0	0	9362	9576	83579	84983	365431	367878	46628	42563	1643	1659	3585	3597	4978	4978	5000	4990	10	9	14	13	100	100	0	0
17	baseline	2	0	0	19	25	4981	4975	0	0	9548	9518	83048	84942	371398	372908	41006	37632	1694	1747	3537	3658	4981	4975	5000	4990	9	9	13	13	99	100	0	0
17	baseline	3	0	0	26	24	4974	4976	0	0	9603	9644	84435	85926	370299	372433	40663	36997	1706	1724	3619	3600	4974	4976	5000	4990	9	8	13	12	100	100	0	0
18	baseline	1	0	0	0	0	5000	5000	0	0	5897	5944	39981	39321	435785	438636	23337	21099	1974	1827	3448	3409	5000	5000	5000	4990	5	5	7	7	74	66	0	0
18	baseline	2	0	0	0	0	5000	5000	0	0	6140	6017	39154	39183	436668	438515	23038	21285	1936	1855	3358	3396	5000	5000	5000	4990	5	5	7	7	88	67	0	0
18	baseline	3	0	0	0	0	5000	5000	0	0	6074	6030	39334	38788	438516	441072	21076	19110	1798	1989	3388	3443	5000	5000	5000	4990	5	4	7	6	67	73	0	0
19	baseline	1	0	0	0	0	4983	4997	17	3	34418	33917	18105	18016	344440	360082	108037	92985	1924	1958	897	918	4983	4997	5000	4990	24	22	27	25	89	82	0	0
19	baseline	2	0	0	0	0	4981	4995	19	5	34811	34546	18281	18074	349058	361367	102850	91013	1917	1970	888	933	4981	4995	5000	4990	24	22	26	25	83	92	0	0
19	baseline	3	0	0	0	0	4981	4997	19	3	35012	34279	18518	18222	351799	366542	99671	85957	1965	2040	879	931	4981	4997	5000	4990	23	21	27	24	98	72	0	0
20	baseline	1	0	0	5	6	4995	4994	0	0	21826	22087	66200	64804	376113	382244	40861	35865	2692	2752	2811	2744	4995	4994	5000	4990	10	9	15	15	100	99	0	0
20	baseline	2	0	0	6	3	4994	4997	0	0	22048	20941	64883	65688	379575	384164	38494	34207	2743	2719	2801	2863	4994	4997	5000	4990	9	8	15	15	99	97	0	0
20	baseline	3	0	0	4	7	4996	4993	0	0	21859	21921	65899	66428	380439	383458	36803	33193	2735	2792	2819	2854	4996	4993	5000	4990	9	8	15	13	98	100	0	0
21	baseline	1	0	0	0	0	5000	5000	0	0	13438	13959	30464	30331	412251	416191	48847	44519	1991	2062	2304	2261	5000	5000	5000	4990	11	10	14	13	71	59	0	0
21	baseline	2	0	0	0	0	5000	5000	0	0	13973	13654	29986	30412	416110	419911	44931	41023	1921	2051	2270	2363	5000	5000	5000	4990	10	9	13	13	63	56	0	0
21	baseline	3	0	0	0	0	5000	5000	0	0	14169	13397	30579	30212	416534	421784	43718	39607	2052	2043	2332	2320	5000	5000	5000	4990	10	9	13	12	60	65	0	0
22	baseline	1	0	0	0	0	5000	5000	0	0	8515	8640	14144	13944	457460	460102	24881	22314	2097	2276	2095	2008	5000	5000	5000	4990	5	5	7	7	33	36	0	0
22	baseline	2	0	0	0	0	5000	5000	0	0	8847	8784	14037	14218	456836	458712	25280	23286	2101	2332	1996	2134	5000	5000	5000	4990	6	5	7	7	31	36	0	0
22	baseline	3	0	0	0	0	5000	5000	0	0	8861	8615	14231	14110	458441	460823	23467	21452	2207	2320	2075	2027	5000	5000	5000	4990	5	5	7	6	33	36	0	0
23	baseline	1	0	0	1	0	4999	5000	0	0	5435	5498	51086	50396	399100	404159	49379	44947	1007	1062	3247	3310	4999	5000	5000	4990	11	9	13	12	84	88	0	0
23	baseline	2	0	0	2	0	4998	5000	0	0	5587	5396	51257	51096	402682	407424	45474	41084	1034	1105	3275	3363	4998	5000	5000	4990	10	9	13	12	96	98	0	0
23	baseline	3	0	0	0	1	5000	4999	0	0	5587	5539	51050	50842	404052	407787	44311	40832	1017	1143	3281	3341	5000	4999	5000	4990	10	9	12	12	98	92	0	0
24	baseline	1	1	1	0	1	4999	4998	0	0	47953	49544	23562	23938	364987	369977	68498	61541	2940	2996	1092	1101	4999	4998	5000	4990	17	15	22	19	95	99	0	0
24	baseline	2	0	1	0	1	5000	4998	0	0	49502	49616	23613	23460	368511	376106	63374	55818	2921	3030	1088	1124	5000	4998	5000	4990	16	15	19	18	98	90	0	0
24	baseline	3	1	1	1	0	4998	4999	0	0	49386	49427	23825	23667	369555	375940	62234	55966	2971	3015	1113	1089	4998	4999	5000	4990	16	15	21	20	97	98	0	0
25	baseline	1	0	0	0	0	4940	4984	60	16	31198	30666	10846	10705	357115	373181	105841	90448	1848	1897	595	619	4940	4984	5000	4990	23	21	24	23	84	75	0	0
25	baseline	2	0	0	0	0	4954	4985	46	15	30764	29911	11023	10992	369401	382033	93812	82064	1867	1956	610	683	4954	4985	5000	4990	21	19	22	22	83	76	0	0
25	baseline	3	0	0	0	0	4944	4993	56	7	31091	30427	10952	11006	372574	386988	90383	76579	1897	2019	620	682	4944	4993	5000	4990	20	18	21	19	75	66	0	0
26	baseline	1	0	0	46	49	4954	4951	0	0	19580	19553	96231	96821	356973	360105	32216	28521	2818	2936	3258	3258	4954	4951	5000	4990	8	7	13	14	100	100	0	0
26	baseline	2	0	0	45	43	4955	4957	0	0	20153	19400	96851	96015	357158	361564	30838	28021	2848	2942	3279	3305	4955	4957	5000	4990	7	7	14	13	100	100	0	0
26	baseline	3	0	0	60	48	4940	4952	0	0	20005	20032	95989	97992	359406	360285	29600	26691	2858	2926	3239	3304	4940	4952	5000	4990	7	7	14	13	99	100	0	0
27	baseline	1	0	0	1	0	4999	5000	0	0	12214	12127	45615	44597	392858	399196	54313	49080	1722	1754	2774	2769	4999	5000	5000	4990	12	11	16	15	80	74	0	0
27	baseline	2	0	0	0	1	5000	4999	0	0	12385	12162	45285	45801	396701	401382	50629	45655	1712	1758	2743	2797	5000	4999	5000	4990	11	11	16	14	94	96	0	0
27	baseline	3	0	0	1	0	4999	5000	0	0	12481	12475	46070	45279	395870	400975	50579	46271	1697	1816	2766	2770	4999	5000	5000	4990	12	11	15	14	79	90	0	0
28	baseline	1	0	0	0	0	5000	5000	0	0	7748	7893	21080	21160	448236	450993	27936	24954	1944	1889	2501	2485	5000	5000	5000	4990	6	6	8	8	42	41	0	0
28	baseline	2	0	0	0	0	5000	5000	0	0	7791	7724	21178	20815	448502	451428	27529	25033	1944	1898	2499	2529	5000	5000	5000	4990	6	6	8	7	45	48	0	0
28	baseline	3	0	0	0	0	5000	5000	0	0	7867	7716	21300	21247	449804	452377	26029	23660	1997	2014	2562	2552	5000	5000	5000	4990	6	5	8	7	41	44	0	0
29	baseline	1	0	0	39	33	4961	4967	0	0	44747	45007	75092	74523	318783	327368	66378	58102	2992	3053	2254	2226	4961	4967	5000	4990	16	15	25	23	100	99	0	0
29	baseline	2	0	0	36	29	4964	4971	0	0	44557	45126	75147	75505	326104	331479	59192	52890	3007	3053	2244	2285	4964	4971	5000	4990	15	14	22	22	100	100	0	0
29	baseline	3	0	1	44	34	4956	4965	0	0	45484	44601	76384	75250	324342	332524	58790	52625	3011	3055	2256	2257	4956	4965	5000	4990	15	13	25	23	100	100	0	0
30	baseline	1	0	0	0	0	5000	5000	0	0	27974	28176	35995	34138	407120	413143	33911	29543	3181	3111	2035	1935	5000	5000	5000	4990	8	7	13	12	78	68	0	0
30	baseline	2	0	0	0	0	5000	5000	0	0	28965	28560	35083	34646	407795	412599	33157	29195	3185	3235	1942	1946	5000	5000	5000	4990	8	7	12	12	87	67	0	0
30	baseline	3	0	0	0	0	5000	5000	0	0	28814	28413	35354	34888	409676	413993	31156	27706	3172	3270	1950	1964	5000	5000	5000	4990	8	7	12	12	69	73	0	0
31	baseline	1	0	0	0	0	4915	4967	85	33	17563	17359	16013	16114	364733	380627	106691	90900	1280	1318	993	1058	4915	4967	5000	4990	22	20	24	22	56	63	0	0
31	baseline	2	0	0	0	0	4908	4966	92	34	17835	17532	16101	16314	366765	381434	104299	89720	1265	1334	957	1095	4908	4966	5000	4990	22	20	23	23	68	64	0	0
31	baseline	3	0	0	0	0	4896	4977	104	23	17650	17932	15909	16428	377910	393733	93531	76907	1313	1404	992	1105	4896	4977	5000	4990	19	17	22	20	65	53	0	0
32	baseline	1	0	0	1	1	4999	4999	0	0	11087	11232	58686	58179	397972	402689	37255	32900	2029	2031	3215	3219	4999	4999	5000	4990	8	8	12	11	96	97	0	0
32	baseline	2	0	0	3	0	4997	5000	0	0	11594	11189	58221	59195	400827	403701	34358	30915	2105	2185	3201	3276	4997	5000	5000	4990	8	7	12	11	98	100	0	0
32	baseline	3	0	0	2	3	4998	4997	0	0	11397	11158	59085	58822	400504	404096	34014	30924	2108	2193	3242	3280	4998	4997	5000	4990	8	7	11	11	90	96	0	0
33	baseline	1	0	0	0	0	5000	5000	0	0	7091	6991	27130	27359	425339	428807	45440	41843	1290	1380	2510	2557	5000	5000	5000	4990	10	9	12	12	57	50	0	0
33	baseline	2	0	0	0	0	4999	5000	1	0	7058	7134	27267	26573	429051	433778	41624	37515	1313	1356	2530	2595	4999	5000	5000	4990	9	8	12	11	56	56	0	0
33	baseline	3	0	0	0	0	5000	5000	0	0	7330	7102	27268	26735	427821	431641	42581	39522	1325	1443	2533	2600	5000	5000	5000	4990	9	9	12	11	57	51	0	0
34	baseline	1	0	0	0	0	5000	5000	0	0	40106	41279	12621	12554	397473	403247	54800	47920	2816	2879	767	750	5000	5000	5000	4990	13	13	16	16	82	98	0	0
34	baseline	2	0	0	0	0	5000	5000	0	0	40462	40800	12707	12495	395834	402230	55997	49475	2821	2945	786	791	5000	5000	5000	4990	14	13	16	14	89	90	0	0
34	baseline	3	1	0	0	0	4999	5000	0	0	41335	41236	12710	12665	393632	400257	57323	50842	2829	2935	745	784	4999	5000	5000	4990	14	13	16	15	98	77	0	0
35	baseline	1	0	0	50	56	4950	4944	0	0	25722	26263	89122	88147	316810	324405	73346	66185	2248	2237	2865	2814	4950	4944	5000	4990	17	16	24	23	100	100	0	0
35	baseline	2	0	0	51	57	4949	4943	0	0	26061	25836	89203	87329	322145	329712	67591	62123	2167	2322	2855	2877	4949	4943	5000	4990	16	15	23	22	100	100	0	0
35	baseline	3	0	0	62	53	4938	4947	0	0	25880	26090	89101	88178	323406	330665	66613	60067	2220	2337	2875	2903	4938	4947	5000	4990	16	15	23	22	100	100	0	0
36	baseline	1	0	0	0	0	5000	5000	0	0	16258	16520	42008	40862	407827	413426	38907	34192	2491	2496	2612	2562	5000	5000	5000	4990	9	8	12	12	93	70	0	0
36	baseline	2	0	0	0	0	5000	5000	0	0	16482	16199	41514	42103	411623	415217	35381	31481	2449	2472	2604	2650	5000	5000	5000	4990	8	7	12	11	89	90	0	0
36	baseline	3	0	0	1	0	4999	5000	0	0	16382	16007	41667	41543	412207	416020	34744	31430	2488	2518	2608	2643	4999	5000	5000	4990	8	7	12	11	73	90	0	0
37	baseline	1	0	0	0	0	4999	5000	1	0	10045	10098	19234	19171	427871	432250	47850	43481	1591	1703	1959	2020	4999	5000	5000	4990	11	10	13	12	45	48	0	0
37	baseline	2	0	0	0	0	4998	5000	2	0	10345	10126	19275	19124	432273	436604	43107	39146	1637	1759	1945	2058	4998	5000	5000	4990	10	9	12	11	48	43	0	0
37	baseline	3	0	0	0	0	4999	5000	1	0	10446	10288	19542	19252	432035	436284	42977	39176	1657	1775	2002	2010	4999	5000	5000	4990	10	9	12	11	44	50	0	0
38	baseline	1	0	0	4	5	4996	4995	0	0	6320	6470	69962	68309	407598	411187	21120	19034	1912	2230	3845	3846	4996	4995	5000	4990	5	4	7	7	99	98	0	0
38	baseline	2	0	0	6	3	4994	4997	0	0	6645	6421	69758	67802	407642	411385	20955	19392	1960	2198	3799	3844	4994	4997	5000	4990	5	4	7	7	99	97	0	0
38	baseline	3	0	0	3	8	4997	4992	0	0	6568	6549	69277	70471	409765	410318	19390	17662	2110	2228	3858	3823	4997	4992	5000	4990	4	4	7	7	96	97	0	0
39	baseline	1	0	0	1	0	4999	5000	0	0	37120	37019	32094	32080	336811	348801	98975	87100	2176	2237	1425	1414	4999	5000	5000	4990	23	21	27	26	93	100	0	0
39	baseline	2	1	0	1	0	4996	5000	2	0	36684	37007	32876	31956	338801	349261	96639	86776	2107	2224	1363	1462	4996	5000	5000	4990	23	21	27	25	96	85	0	0
39	baseline	3	1	0	0	0	4999	5000	0	0	37803	37256	32441	31980	339785	351762	94971	84002	2195	2231	1411	1403	4999	5000	5000	4990	23	21	28	26	99	94	0	0
40	baseline	1	0	0	0	0	4999	5000	1	0	23254	23707	14939	15030	414002	419176	52805	47087	2308	2380	1182	1217	4999	5000	5000	4990	12	11	15	13	57	55	0	0
40	baseline	2	0	0	0	0	4999	5000	1	0	23492	23413	15151	14841	415107	420717	51250	46029	2329	2464	1205	1234	4999	5000	5000	4990	12	11	14	13	56	56	0	0
40	baseline	3	0	0	0	0	4999	5000	1	0	23711	23470	15120	14905	416769	423034	49400	43591	2393	2456	1168	1176	4999	5000	5000	4990	12	11	15	14	57	60	0	0
41	baseline	1	0	0	1	0	4999	5000	0	0	14556	14730	54091	54063	384138	388840	52215	47367	2013	2075	2841	2882	4999	5000	5000	4990	12	11	17	15	96	100	0	0
41	baseline	2	0	0	2	0	4998	5000	0	0	15149	14714	54227	53077	388786	394187	46838	43022	2032	2104	2799	2894	4998	5000	5000	4990	11	10	15	14	96	98	0	0
41	baseline	3	0	0	0	3	5000	4997	0	0	15104	15121	53689	53257	389951	394475	46256	42147	2053	2120	2858	2835	5000	4997	5000	4990	11	10	15	14	100	94	0	0
42	baseline	1	0	0	0	0	5000	5000	0	0	9358	9494	25157	24668	444048	447339	26437	23499	2231	2217	2596	2521	5000	5000	5000	4990	6	5	8	8	53	46	0	0
42	baseline	2	0	0	0	0	5000	5000	0	0	9472	9474	24892	24941	445047	447151	25589	23434	2238	2346	2595	2588	5000	5000	5000	4990	6	5	8	7	47	50	0	0
42	baseline	3	0	0	0	0	5000	5000	0	0	9425	9371	25139	25120	446025	448409	24411	22100	2173	2375	2619	2632	5000	5000	5000	4990	6	5	8	7	57	49	0	0
43	baseline	1	0	0	0	0	4910	4958	90	42	5748	5821	11447	11435	423548	432784	64257	54960	912	951	1386	1430	4910	4958	5000	4990	11	11	13	12	35	33	0	0
43	baseline	2	0	0	0	0	4885	4967	115	33	5659	5740	11407	11595	425647	438199	62287	49466	880	950	1363	1468	4885	4967	5000	4990	11	10	12	11	37	34	0	0
43	baseline	3	0	0	0	0	4897	4976	103	24	5858	5824	11475	11501	429214	442038	58453	45637	926	972	1368	1470	4897	4976	5000	4990	10	9	12	11	33	30	0	0
44	baseline	1	0	0	33	39	4967	4961	0	0	33743	34265	82552	81148	341800	348555	46905	41032	3080	3109	2648	2603	4967	4961	5000	4990	11	10	19	18	100	99	0	0
44	baseline	2	0	0	29	35	4971	4965	0	0	34393	33445	81883	81067	345757	351447	42967	39041	3068	3107	2625	2666	4971	4965	5000	4990	11	10	18	19	100	100	0	0
44	baseline	3	0	0	33	28	4967	4972	0	0	34421	33800	82441	81438	347203	353105	40935	36657	3078	3165	2643	2658	4967	4972	5000	4990	10	9	19	17	100	100	0	0
45	baseline	1	0	0	0	0	5000	5000	0	0	21668	21597	38272	38292	391684	397049	53376	48062	2381	2394	2198	2180	5000	5000	5000	4990	13	12	16	16	80	93	0	0
45	baseline	2	0	0	0	0	5000	5000	0	0	21507	21388	38326	38566	395579	400253	49588	44793	2385	2486	2197	2253	5000	5000	5000	4990	12	11	15	15	89	90	0	0
45	baseline	3	0	0	0	0	5000	5000	0	0	21558	21119	38398	37535	396490	401936	48554	44410	2390	2496	2194	2257	5000	5000	5000	4990	12	11	16	15	75	88	0	0
46	baseline	1	0	0	0	0	5000	5000	0	0	13447	13378	17800	17362	446434	449978	27319	24282	2573	2606	1946	1926	5000	5000	5000	4990	6	6	8	8	42	37	0	0
46	baseline	2	0	0	0	0	5000	5000	0	0	13430	13673	17863	17477	447038	449529	26669	24321	2550	2620	1934	1941	5000	5000	5000	4990	6	6	8	8	41	35	0	0
46	baseline	3	0	0	0	0	5000	5000	0	0	13659	13373	17997	17516	447430	450535	25914	23576	2665	2592	1925	1940	5000	5000	5000	4990	6	6	8	8	39	44	0	0
47	baseline	1	0	0	4	3	4996	4997	0	0	8324	8452	63549	63235	375389	381138	57738	52175	1286	1280	3291	3269	4996	4997	5000	4990	13	11	16	15	96	100	0	0
47	baseline	2	0	0	6	2	4994	4998	0	0	8588	8528	64200	64555	378096	382764	54116	49153	1303	1375	3268	3323	4994	4998	5000	4990	12	11	16	15	97	95	0	0
47	baseline	3	0	0	5	4	4995	4996	0	0	8666	8552	64547	62029	378638	385350	53149	49069	1319	1400	3304	3293	4995	4996	5000	4990	12	11	16	15	94	100	0	0
48	baseline	1	0	0	0	0	5000	5000	0	0	5336	5473	29752	29402	441146	444198	28766	25927	1494	1463	3051	3068	5000	5000	5000	4990	6	6	8	8	57	50	0	0
48	baseline	2	0	0	0	0	5000	5000	0	0	5495	5318	29570	29714	442124	444702	27811	25266	1550	1463	3082	3118	5000	5000	5000	4990	6	5	8	7	63	54	0	0
48	baseline	3	0	0	0	0	5000	5000	0	0	5459	5416	29751	29706	442983	445388	26807	24490	1543	1589	3121	3106	5000	5000	5000	4990	6	5	8	7	53	57	0	0
49	baseline	1	0	3	3	0	4970	4994	27	3	47803	46488	13466	13800	325958	342541	117773	102171	2149	2207	582	592	4970	4994	5000	4990	28	25	31	28	96	98	0	0
49	baseline	2	0	3	1	0	4977	4992	22	5	48052	48104	13638	13853	330949	342437	112361	100606	2119	2226	556	640	4977	4992	5000	4990	28	24	27	28	97	98	0	0
49	baseline	3	2	0	0	1	4976	4995	22	4	49294	47813	13650	13843	330411	347178	111645	96166	2189	2259	551	621	4976	4995	5000	4990	26	24	27	25	100	92	0	0
50	baseline	1	0	0	0	1	5000	4999	0	0	30020	29667	48950	49588	384952	389742	41078	36003	3121	3105	2250	2211	5000	4999	5000	4990	10	9	15	15	95	90	0	0
50	baseline	2	0	0	2	0	4998	5000	0	0	30301	30962	50308	49243	386011	390765	38380	34030	3019	3084	2236	2252	4998	5000	5000	4990	9	9	15	14	96	98	0	0
50	baseline	3	0	0	1	1	4999	4999	0	0	30574	30411	49444	49132	387819	391764	37163	33693	3026	3132	2217	2236	4999	4999	5000	4990	9	9	15	15	99	90	0	0
